Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Role,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Intelligence
"",Sergeant,Rufus,Langdon,,Rufus,Langdon,,,Odyssey,24,Active,Male,Regular,MekWarrior/Mek Tech,Quasimodo QSM-3D,Beta Lance,-,4/5,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,4,0,2,6,-,-,-,-,-,-,6,-,0,3,"2,745 C-Bill",35,Mercenary,Tamarind,3126-06-01,3151-02-12,3151-05-13,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,3,0,0,11,High School,None (-),None (-),None (-),None (-),13
"",Sergeant,Darius,Steiger,,Darius,Steiger,,,Chemical,27,Active,Male,Regular,MekWarrior/Mek Tech,Thunderbolt C 2,Alpha Lance,-,4/5,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,3,-,1,6,-,-,-,-,-,-,-,-,0,1,"2,745 C-Bill",40,Mercenary,Alexandria (LC),3124-05-07,3151-02-12,3151-05-13,,,,No,Yes,No,No,N/A,N/A,No,0,0,1,0,0,13,College,None (-),None (-),None (-),Receptive (+),12
"",Warrior,Hassim,,,Hassim,,,,,37,Active,Male,Veteran,Trueborn MekWarrior/Astech,Shadow Hawk IIC 8,Alpha Lance,-,3/3,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,3,-,3,-,-,-,-,-,-,-,-,-,0,1,"1,245 C-Bill",25,Clan Sea Fox,Trondheim (DC),3114-05-02,3151-02-12,3151-05-13,,,,No,Yes,Yes,Yes,N/A,N/A,No,0,-3,1,0,0,12,College,None (-),Diligent (+),None (-),None (-),12
"",Major,Quentin,Elias Tresseraburg,,Quentin,Elias Tresseraburg,,,Deadeye,21,Active,Male,Regular,MekWarrior/Astech,Mad Cat III 2 -  Mad Kitten,Alpha Lance,-,5/5,-/7,-/-,-/-,-/-,-/-,-/-,-,7,-,-,2,-,4,6,-,-,-,-,-,-,5,-,0,1,"3,495 C-Bill",30,Lyran Commonwealth,Clermont,3130-02-01,3151-02-12,3151-05-13,,,,Yes,Yes,No,No,N/A,N/A,No,0,0,1,0,0,11,Early Childhood,Daring (+),None (-),None (-),None (-),12
"",Sergeant,Yoshiro,Takamotoi,,Yoshiro,Takamotoi,,,,23,Active,Male,Veteran,MekWarrior/Soldier,Locust LCT-7V2,Alpha Lance,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,2,-,2,8,-,-,-,-,-,-,-,-,0,1,"2,745 C-Bill",30,Draconis Combine,Yamarovka,3127-08-10,3151-02-12,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,3,0,0,7,College,None (-),Motivated (+),None (-),None (-),12
"",Chu-i,Kage,Ha Omi,,Kage,Ha Omi,,,Zetsubo,21,Active,Male,Veteran,MekWarrior/Astech,Black Hawk (Nova) S,Beta Lance,-,3/4,-/7,-/-,-/-,-/-,-/-,-/-,-,5,-,-,2,-,-,8,-,-,-,-,-,-,-,-,0,5,"2,505 C-Bill",40,Draconis Combine,Luthien,3129-10-01,3151-02-12,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,3,0,0,6,College,None (-),None (-),None (-),Introverted (+),12
"",Chief Tech,Joanna,Langdon,,Joanna,Langdon,,,,25,Active,Other,Veteran,Freeborn Mek Tech,Mad Cat III 2 -  Mad Kitten (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,2,5,-,-,-,-,-,4,4,-,0,0,"1,464 C-Bill",0,Clan Wolf-in-Exile,Arc-Royal,3125-11-02,3151-02-19,3151-05-13,,,,No,No,Yes,N/A,Yes,No,No,0,-3,0,0,0,15,College,None (-),None (-),None (-),Petty (-),12
"",,Yuriko,Takomoto,,Yuriko,Takomoto,,,,13,Active,Female,None,Dependent,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0 C-Bill,0,Draconis Combine,Yamarovka,3137-09-01,3151-02-19,,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,8,Early Childhood,None (-),Dishonest (--),None (-),None (-),12
"",,Eremey,Langdon,,Eremey,Langdon,,,,3,Active,Male,None,Dependent,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0 C-Bill,0,Free Worlds League,Tamarind,3147-07-01,3151-02-19,,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,5,Early Childhood,Daring (+),None (-),None (-),None (-),12
"",Spaceman,Kiyohira,Endo,,Kiyohira,Endo,,,,25,Active,Male,Veteran,Vessel Pilot,Union (Crows Nest) [Pilot],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/4,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,1,830 C-Bill,20,Draconis Combine,Saffel,3125-06-15,3151-02-19,3151-02-19,,,,No,No,No,No,N/A,N/A,No,0,-1,0,0,0,11,High School,None (-),None (-),None (-),Dismissive (-),12
