Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Profession,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Connections,Wealth,Reputation,Unlucky,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Reasoning,Strength,Body,Reflexes,Dexterity,Intelligence,Willpower,Charisma
"",Sergeant,Rufus,Langdon,,Rufus,Langdon,,,Odyssey,3126-06-01,Active,Male,Veteran,MekWarrior / MekTech,Quasimodo QSM-3D,Alpha Lance,-,3/5,-/8,-/-,-/-,-/-,-/-,-/-,-,5,-,-,5,9,6,6,-,-,-,-,-,-,6,-,0,4,"2,745 C-Bill",5,Mercenary,Tamarind,3126-06-01,3151-02-12,3151-05-13,,,,No,Yes,No,N/A,Yes,N/A,No,0,1,-1,0,0,-1,3,0,0,11,High School,None (-),None (-),None (-),None (-),13,5 / 8,5 / 8,6 / 8,5 / 8,4 / 8,4 / 8,3 / 9
"",Sergeant,Darius,Steiger,,Darius,Steiger,,,Chemical,3124-05-07,Active,Male,Regular,MekWarrior / MekTech,Thunderbolt C 2 (Darius) Mk II,Alpha Lance,-,4/5,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,6,-,7,6,-,-,-,-,-,-,-,-,0,2,"2,745 C-Bill",61,Mercenary,Alexandria (LC),3124-05-07,3151-02-12,3151-05-13,,,,No,Yes,No,No,N/A,N/A,No,0,0,0,0,0,0,1,0,0,13,College,None (-),None (-),None (-),Receptive (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Warrior,Hassim,,,Hassim,,,,,3114-05-02,Active,Male,Elite,Trueborn MekWarrior / Astech,Shadow Hawk IIC 8,Alpha Lance,-,3/3,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,6,-,5,-,-,-,-,-,-,-,-,-,0,2,"1,245 C-Bill",25,Clan Sea Fox,Trondheim (DC),3114-05-02,3151-02-12,3151-05-13,,,,No,Yes,Yes,Yes,N/A,N/A,No,0,0,0,0,0,-4,1,0,0,12,College,None (-),Diligent (+),None (-),None (-),12,5 / 8,5 / 8,5 / 9,5 / 9,5 / 8,5 / 8,5 / 9
"",Major,Quentin,Elias Tresseraburg,,Quentin,Elias Tresseraburg,,,Deadeye,3130-02-01,Active,Male,Regular,MekWarrior / Astech,-,-,-,5/5,-/7,-/-,-/-,-/-,-/-,-/-,-,7,-,-,7,-,4,6,-,-,-,-,-,-,5,-,0,2,"3,495 C-Bill",40,Lyran Commonwealth,Clermont,3130-02-01,3151-02-12,3151-05-13,,,,Yes,Yes,No,No,N/A,N/A,No,0,0,0,0,0,0,1,0,0,11,Early Childhood,Daring (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Yoshiro,Takamotoi,,Yoshiro,Takamotoi,,,,3127-08-10,Active,Male,Veteran,MekWarrior / Soldier,Locust IIC 2,Alpha Lance,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,7,-,6,8,-,-,-,-,-,-,-,-,0,3,"2,745 C-Bill",0,Draconis Combine,Yamarovka,3127-08-10,3151-02-12,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,3,0,0,7,College,None (-),Motivated (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chu-i,Kage,Ha Omi,,Kage,Ha Omi,,,Zetsubo,3129-10-01,Active,Male,Veteran,MekWarrior / Astech,Black Hawk (Nova) S,Alpha Lance,-,3/4,-/7,-/-,-/-,-/-,-/-,-/-,-,5,-,-,7,-,-,8,-,-,-,-,-,7,-,-,0,10,"2,505 C-Bill",10,Draconis Combine,Luthien,3129-10-01,3151-02-12,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,3,1,0,6,College,None (-),None (-),None (-),Introverted (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Joanna,Langdon,,Joanna,Langdon,,,,3125-11-02,Active,Other,Veteran,Freeborn MekTech,Quasimodo QSM-3D (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,6,5,-,-,-,-,-,4,4,-,0,0,"1,464 C-Bill",0,Clan Wolf-in-Exile,Arc-Royal,3125-11-02,3151-02-19,3151-05-13,,,,No,No,Yes,N/A,Yes,No,No,0,0,0,0,0,-3,0,0,0,15,College,None (-),None (-),None (-),Petty (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",,Yuriko,Takomoto,,Yuriko,Takomoto,,,,3137-09-01,Active,Female,Regular,Child,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0 C-Bill,0,Draconis Combine,Yamarovka,3137-09-01,3151-02-19,,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,8,Early Childhood,None (-),Dishonest (--),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",,Eremey,Langdon,,Eremey,Langdon,,,,3147-07-01,Active,Male,Regular,Child,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0 C-Bill,0,Free Worlds League,Tamarind,3147-07-01,3151-02-19,,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,5,Early Childhood,Daring (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman,Kiyohira,Endo,,Kiyohira,Endo,,,,3125-06-15,Active,Male,Veteran,Vessel Pilot,Union (Crows Nest) [Pilot],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/4,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,830 C-Bill,50,Draconis Combine,Saffel,3125-06-15,3151-02-19,3151-02-19,,,,No,No,No,No,N/A,N/A,No,0,0,0,0,0,-1,0,0,0,11,High School,None (-),None (-),None (-),Dismissive (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
