Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Profession,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Connections,Wealth,Reputation,Unlucky,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Reasoning,Strength,Body,Reflexes,Dexterity,Intelligence,Willpower,Charisma
"",Major,Hoang,Doan,,Hoang,Doan,,,Roller,3001-04-26,Active,Male,Elite,MekWarrior,Stalker STK-4N,Alpha Heavy Command Lance,-,0/1,-/-,-/-,-/-,-/-,-/-,-/-,-,7,-,-,0,0,0,-,-,-,-,-,-,-,1,-,0,22,"11,184 C-Bill",95,Mercenary,Chateau,3001-04-26,3028-01-01,3028-01-01,,,,Yes,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,2,0,0,9,College,None (-),Diligent (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Captain,Sameh,Dinatali,,Sameh,Dinatali,,,Feedback,3006-12-22,Active,Male,Veteran,MekWarrior,Stalker STK-3F,Alpha Heavy Command Lance,-,2/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,5,2,-,4,-,-,-,-,-,-,-,-,-,0,12,"4,800 C-Bill",37,Draconis Combine,Verthandi (Norn),3006-12-22,3028-01-01,3029-12-11,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,-1,1,0,0,9,College,None (-),Goal-Oriented (+),None (-),Considerate (+),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Grear,Sottrel,,Grear,Sottrel,,,Big Texas,3005-12-18,Killed in Action,Female,Regular,MekWarrior,-,-,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,"2,745 C-Bill",37,Draconis Combine,Verthandi (Norn),3005-12-18,3028-01-01,3028-09-11,,,3030-09-19,No,Yes,No,Yes,N/A,Yes,N/A,0,0,0,0,0,6,1,0,0,9,Early Childhood,None (-),None (-),None (-),Blunt (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Fadi,Mu'tasim,,Fadi,Mu'tasim,,,Thresher,2999-01-18,Killed in Action,Male,Regular,MekWarrior,-,-,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"2,745 C-Bill",0,Mercenary,Csesztreg,2999-01-18,3028-01-01,3028-09-11,,,3028-11-07,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,9,Early Childhood,Aggressive (-),None (-),None (-),None (-),11,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Lieutenant JG,Fenella,Gatchis,,Fenella,Gatchis,,,Fiddle,3003-07-15,Active,Female,Veteran,MekWarrior,Cicada CDA-3C,Delta Light Recon Lance,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"3,192 C-Bill",34,Lyran Commonwealth,Maxie's Planet,3003-07-15,3028-01-01,3031-07-01,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,-1,1,0,0,9,College,None (-),None (-),Insatiable (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Yaeko,Miyake,,Yaeko,Miyake,,,Fox,3003-11-10,Active,Female,Veteran,MekWarrior,Hunchback HBK-4P,Chalie Medium Battle Lance,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,"4,392 C-Bill",44,Mercenary,Csesztreg,3003-11-10,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,-1,1,0,0,9,College,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Libor,Bates-Strachota,,Libor,Bates-Strachota,,,Menace,3006-10-15,Active,Male,Regular,MekWarrior,Hunchback HBK-4P #2,Chalie Medium Battle Lance,-,3/5,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,"2,745 C-Bill",26,Independent,Star's End (Novo Cressidas),3006-10-15,3028-01-01,3028-09-11,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,1,0,0,9,College,None (-),Focused (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Turfa,bin Jawad,,Turfa,bin Jawad,,,Wyvern,2997-11-01,Active,Female,Veteran,MekWarrior,Griffin GRF-1S,Bravo Medium Striker Lance,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,"4,392 C-Bill",73,Independent,Star's End (Novo Cressidas),2997-11-01,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,1,1,0,9,College,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",,Kurt,Bilali,,Kurt,Bilali,,,Latte,2996-01-17,Killed in Action,Male,Veteran,MekWarrior,-,-,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,3,-,0,-,-,-,-,-,-,-,-,-,0,2,"1,200 C-Bill",0,Mercenary,Harvest,2996-01-17,3028-01-01,3029-07-01,,,3028-09-11,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,0,-1,1,2,0,9,Early Childhood,None (-),None (-),None (-),Receptive (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Jorge,Rangel,,Jorge,Rangel,,,Laddie,2996-09-03,Active,Male,Veteran,MekWarrior,Trebuchet TBT-5S,Bravo Medium Striker Lance,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,"4,392 C-Bill",31,Mercenary,Trell I,2996-09-03,3028-01-01,3028-09-11,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,1,0,0,9,College,Hot-Headed (-),None (-),None (-),None (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
