Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Role,Unit Assignment,Force,Deployed,Mech,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Marriageable,Divorceable,Trying to Conceive,Immortal,Toughness,Edge,SPA Count,Implant Count,Portrait Path
"",Major,Hoang,Doan,,Hoang,Doan,,,Roller,3001-04-26,Active,Male,Elite,MechWarrior,Stalker STK-4N,Heavy Lance,-,0/1,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,10,9,9,-,-,-,-,-,-,3,-,0,8,"5,760 C-Bill",5,Mercenary,Chateau,3001-04-26,3028-01-01,3028-01-01,,,,Yes,Yes,No,Yes,N/A,N/A,No,0,0,0,0,Male/MechWarrior/MW_M_68.png
"",Lieutenant SG,Sameh,Ndadaye,,Sameh,Ndadaye,,,Feedback,3006-12-22,Active,Male,Veteran,MechWarrior,Dervish DV-6M,Medium Lance,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,5,7,-,4,-,-,-,-,-,-,-,-,0,6,"2,880 C-Bill",3,Draconis Combine,Verthandi (Norn),3006-12-22,3028-01-01,3028-10-09,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,Male/MechWarrior/MW_M_46.png
"",Sergeant,Grear,Sottrel,,Grear,Sottrel,,,Big Texas,3005-12-18,Active,Female,Regular,MechWarrior,Javelin JVN-10F 'Fire Javelin',Light Lance,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,500 C-Bill",5,Draconis Combine,Verthandi (Norn),3005-12-18,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,Female/MechWarrior/MW_F_10.png
"",Sergeant,Fadi,Mu'tasim,,Fadi,Mu'tasim,,,Thresher,2999-01-18,Killed in Action,Male,Regular,MechWarrior,-,-,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,500 C-Bill",2,Mercenary,Csesztreg,2999-01-18,3028-01-01,3028-09-11,,,3028-11-07,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,Male/MechWarrior/MW_M_105.png
"",Lieutenant JG,Fenella,Orrock,,Fenella,Orrock,,,Fiddle,3003-07-15,Active,Female,Regular,MechWarrior,Cicada CDA-3C,Light Lance,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,800 C-Bill",2,Lyran Commonwealth,Maxie's Planet,3003-07-15,3028-01-01,3028-10-09,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,Female/MechWarrior/MW_F_37.png
"",Sergeant,Yaeko,Miyake,,Yaeko,Miyake,,,Fox,3003-11-10,Active,Female,Regular,MechWarrior,Hunchback HBK-4P,Medium Lance,-,3/5,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"1,500 C-Bill",1,Mercenary,Csesztreg,3003-11-10,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,Female/MechWarrior/MW_F_78.png
"",Sergeant,Libor,Strachota,,Libor,Strachota,,,Menace,3006-10-15,Active,Male,Regular,MechWarrior,Hunchback HBK-4P #2,Medium Lance,-,4/5,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,"1,500 C-Bill",0,Independent,Star's End (Novo Cressidas),3006-10-15,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,Male/MechWarrior/MW_M_87.png
"",Sergeant,Turfa,bin Jawad,,Turfa,bin Jawad,,,Wyvern,2997-11-01,Active,Female,Regular,MechWarrior,Griffin GRF-1S,Medium Lance,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"1,500 C-Bill",7,Independent,Star's End (Novo Cressidas),2997-11-01,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,Female/MechWarrior/MW_F_82.png
"",,Kurt,Bilali,,Kurt,Bilali,,,Latte,2996-01-17,Killed in Action,Male,Veteran,MechWarrior,-,-,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,6,-,8,-,-,-,-,-,-,-,-,0,2,"2,400 C-Bill",7,Mercenary,Harvest,2996-01-17,3028-01-01,3028-10-21,,,3028-09-11,No,Yes,No,Yes,N/A,N/A,N/A,0,0,2,0,Male/MechWarrior/MW_M_104.png
"",Sergeant,Jorge,Rangel,,Jorge,Rangel,,,Laddie,2996-09-03,Active,Male,Regular,MechWarrior,Trebuchet TBT-5S,Medium Lance,-,3/5,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"1,500 C-Bill",1,Mercenary,Trell I,2996-09-03,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,Male/MechWarrior/MW_M_37.png
